1,1,こめ　［うるち米製品］　水稲全かゆ　レトルト　精白米,食塩無添加品食物繊維：AOAC2011.25法
2,1,こめ　［水稲めし］　精白米　うるち米,精白米47 g相当量を含む食物繊維：AOAC2011.25法
3,1,こめ　［水稲めし］　七分つき米,うるち米七分つき米47 g相当量を含む
4,1,こめ　［水稲めし］　半つき米,うるち米半つき米47 g相当量を含む
5,1,こめ　［水稲めし］　はいが精米,うるち米はいが精白米47 g相当量を含む
6,1,こめ　［水稲めし］　玄米,うるち米玄米47 g相当量を含む
7,1,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,天ぷら粉39、水61加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g食物繊維：AOAC2011.25法
8,1,こめ　［水稲めし］　精白米　もち米,精白米55 g相当量を含む
9,1,こめ　［水稲めし］　赤米,ポリフェノール：（0.2）ｇ食物繊維：AOAC2011.25法
10,1,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,別名： 揚げ玉、天かす植物油（なたね油）調理による脂質の増減：第1章表13参照加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g食物繊維：AOAC2011.25法
11,1,あわ　あわもち,原材料配合割合： もちあわ50、もち米50
12,1,おおむぎ　押麦　乾,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %食物繊維：AOAC2011.25法
13,1,もろこし　玄穀,別名： こうりゃん、ソルガム、たかきび、マイロ
14,1,こめ　［水稲おもゆ］　精白米,うるち米弱火で加熱、ガーゼでこしたもの精白米6 g相当量を含む
15,1,こめ　［水稲軟めし］　精白米,別名： なんはん、なんばん、やわらかめしうるち米食物繊維：AOAC2011.25法
16,1,おおむぎ　米粒麦,別名： 切断麦白麦を含む歩留り： 玄皮麦40～50 %、玄裸麦50～60 %
17,1,こむぎ　［うどん・そうめん類］　うどん　ゆで,きしめん、ひもかわを含む食物繊維：AOAC2011.25法
18,1,こめ　［水稲めし］　黒米,ポリフェノール：（0.2）ｇ食物繊維：AOAC2011.25法
19,1,こめ　［もち米製品］　赤飯,別名： おこわ、こわめし原材料配合割合： もち米100、ささげ10
20,1,こめ　［うるち米製品］　米こうじ,
21,1,こめ　［水稲穀粒］　精白米　うるち米,うるち米歩留り： 90～91 %(100 g：120 mL、100 mL：83 g)
22,1,こめ　［水稲穀粒］　七分つき米,うるち米歩留り： 92～94 %(100 g：120 mL、100 mL：83 g)
23,1,こめ　［水稲穀粒］　精白米　もち米,歩留り： 90～91 %(100 g：120 mL、100 mL：83 g)
24,1,こめ　［水稲穀粒］　はいが精米,うるち米歩留り： 91～93 %(100 g：120 mL、100 mL：83 g)
25,1,こめ　［水稲穀粒］　半つき米,うるち米歩留り： 95～96 %(100 g：120 mL、100 mL：83 g)
26,1,こめ　［うるち米製品］　玄米粉,焙煎あり
27,1,あわ　精白粒,うるち、もちを含む歩留り： 70～80 %
28,1,きび　精白粒,うるち、もちを含む歩留り： 70～80 %
29,1,ライむぎ　全粒粉,別名：黒麦（くろむぎ）
30,1,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,添付調味料等を含む01058即席中華めん、非油揚げ、乾より推計
31,1,こめ　［うるち米製品］　米粉パン　ロールパン,
32,1,こめ　［もち米製品］　もち,
33,1,こめ　［うるち米製品］　アルファ化米　一般用,
34,1,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,
35,1,こめ　［水稲めし］　精白米　インディカ米,精白米51 g相当量を含む
36,1,こめ　［もち米製品］　白玉粉,別名：寒晒し粉（かんざらし）
37,1,こめ　［水稲穀粒］　玄米,うるち米(100 g：120 mL、100 mL：83 g)
38,1,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g(100 g： 182 mL、100 mL：55 g)
39,1,こめ　［水稲穀粒］　黒米,ポリフェノール：0.5ｇ食物繊維：AOAC2011.25法
40,1,こめ　［水稲穀粒］　赤米,ポリフェノール：0.4ｇ食物繊維：AOAC2011.25法
41,1,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,β-カロテン及びビタミンB2無添加のもの加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g (100 g： 182 mL、100 mL：55 g)
42,1,こむぎ　［小麦粉］　薄力粉　2等,(100 g： 182 mL、100 mL：55 g)
43,1,こむぎ　［玄穀］　国産　普通,食物繊維：AOAC2011.25法
44,1,キヌア　玄穀,
45,1,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,添付調味料等を含む01062和風スタイル即席カップめん、油揚げ、乾より推計食物繊維：AOAC2011.25法
46,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,添付調味料等を含む01061中華スタイル即席カップめん、非油揚げ、乾より推計食物繊維：AOAC2011.25法
47,1,こめ　［うるち米製品］　ビーフン,
48,1,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,添付調味料等を含む食物繊維：AOAC2011.25法
49,1,こめ　［うるち米製品］　焼きおにぎり,こいくちしょうゆ6.5 gを含む
50,1,こめ　［うるち米製品］　上新粉,(100 g：154 mL、100 mL：65 g)
51,1,こむぎ　［小麦粉］　薄力粉　1等,(100 g： 182 mL、100 mL：55 g)
52,1,ひえ　精白粒,歩留り： 55～60 %
53,1,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,添付調味料等を含む01057即席中華めん、油揚げ、乾より推計
54,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,添付調味料等を含む01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計食物繊維：AOAC2011.25法
55,1,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,添付調味料等を含まない食物繊維：AOAC2011.25法
56,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,添付調味料等を含む食物繊維：AOAC2011.25法
57,1,とうもろこし　コーンフレーク,別名： とうきび
58,1,こむぎ　［玄穀］　輸入　軟質,
59,1,こむぎ　［その他］　かやきせんべい,別名： おつゆせんべい
60,1,こめ　［その他］　米ぬか,
61,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,添付調味料等を含む01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計食物繊維：AOAC2011.25法
62,1,こむぎ　［パン類］　クロワッサン　レギュラータイプ,
63,1,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,
64,1,こむぎ　［うどん・そうめん類］　うどん　生,きしめん、ひもかわを含む食物繊維：AOAC2011.25法
65,1,とうもろこし　コーングリッツ　黄色種,別名： とうきび歩留り： 44～55 %
66,1,とうもろこし　コーングリッツ　白色種,別名： とうきび歩留り： 44～55 %
67,1,とうもろこし　玄穀　黄色種,別名： とうきび
68,1,とうもろこし　玄穀　白色種,別名： とうきび
69,1,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g　β-カロテン： 着色料として添加 (100 g： 182 mL、100 mL：55 g)
70,1,こむぎ　［うどん・そうめん類］　うどん　半生うどん,食物繊維：AOAC2011.25法
71,1,こめ　［水稲穀粒］　精白米　インディカ米,うるち米 歩留り： 90～91 %(100 g：120 mL、100 mL：83 g)
72,1,こむぎ　［小麦粉］　中力粉　2等,(100 g： 182 mL、100 mL：55 g)
73,1,そば　そば粉　全層粉,表層粉の一部を除いたもの別名： 挽きぐるみ
74,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,添付調味料等を含む食物繊維：AOAC2011.25法
75,1,そば　そば粉　内層粉,別名： さらしな粉、ごぜん粉
76,1,こむぎ　［小麦粉］　中力粉　1等,(100 g： 182 mL、100 mL：55 g)
77,1,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g (100 g： 182 mL、100 mL：55 g)
78,1,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,別名： インスタントラーメン調理前のもの、添付調味料等を含む
79,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,添付調味料等を含む食物繊維：AOAC2011.25法
80,1,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,添付調味料等を含まない食物繊維：AOAC2011.25法
81,1,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,食物繊維：AOAC2011.25法
82,1,こむぎ　［中華めん類］　干し中華めん　ゆで,食物繊維：AOAC2011.25法
83,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,添付調味料等を含む01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計食物繊維：AOAC2011.25法
84,1,こむぎ　［中華めん類］　蒸し中華めん ソテー,食物繊維：AOAC2011.25法
85,1,こむぎ　［うどん・そうめん類］　干しうどん　乾,
86,1,そば　そば　ゆで,別名： そば切り原材料配合割合： 小麦粉65、そば粉35食物繊維：AOAC2011.25法
87,1,そば　そば粉　中層粉,
88,1,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,別名： カップうどん調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法
89,1,アマランサス　玄穀,
90,1,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,調理前のもの、添付調味料等を除く食物繊維：AOAC2011.25法
91,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,別名： カップラーメン調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法
92,1,こむぎ　［その他］　春巻きの皮　揚げ,植物油（なたね油）調理による脂質の増減：第1章表13参照食物繊維：AOAC2011.25法
93,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,別名： カップ焼きそば調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法
94,1,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,
95,1,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,別名： インスタントラーメン調理前のもの、添付調味料等を含む
96,1,そば　そば粉　表層粉,
97,1,こむぎ　［中華めん類］　中華めん　ゆで,食物繊維：AOAC2011.25法
98,1,こむぎ　［その他］　春巻きの皮　生,食物繊維：AOAC2011.25法
99,1,えんばく　オートミール,別名： オート、オーツ
100,1,こむぎ　［パン類］　くるみパン,
101,1,こむぎ　［パン類］　コッペパン,食物繊維：AOAC2011.25法
102,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法
103,1,こむぎ　［パン類］　角形食パン　耳を除いたもの,※ 耳の割合： 45 %、耳以外の割合 : 55 %別名：サンドイッチ用食パン食物繊維：AOAC2011.25法
104,1,こむぎ　［パン類］　角形食パン　食パン,食物繊維：AOAC2011.25法
105,1,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,
